S/N,Sample_Identity,Ca2+,Mg2+,Na+,K+,Al3+,H+,Cl-,SO42-,NO3-,CO32-,TOC(%),Carbohydrate(ug/g)
1,Station1,1.9,0.6,0.9,0.3,1.2,0.7,0.4,0.8,0.2,0,14.39,5.36
2,Station2,2.1,0.7,0.9,0.4,1.1,0.6,0.2,0.5,0.1,0,15.54,2.43
3,Station3,1.9,0.5,0.8,0.3,0.9,0.5,0.3,0.7,0.1,0.1,14.86,4.3
4,Station4,1.8,0.5,0.7,0.3,1,0.6,0.3,0.7,0.2,0.1,16.74,6.14
5,Station5,2,0.8,0.8,0.4,1.2,0.7,0.5,0.9,0.4,0.2,15.65,7.56
6,Station6,1.9,0.6,0.8,0.4,1.1,0.7,0.6,0.9,0.3,0,20.92,4.95
7,Station7,2.1,0.7,0.8,0.3,1.2,0.7,0.5,0.8,0.2,0,18.77,6.39
8,Station8,2.2,0.6,0.8,0.3,1,0.6,0.3,0.7,0.3,0,18.25,4.41
9,Station9,2,0.6,0.8,0.2,0.8,0.7,0.3,0.9,0.2,0,15.92,4.16
10,Station10,1,0.5,0.7,0.4,1.1,0.6,0.4,0.8,0.3,0.1,16.48,2.84